Unique Titles,Total Hours
The Bridge,1
The Cat Lady,1
The Incredible Adventures of Van Helsing II,1
The Last Remnant,1
The Long Dark,1
The Lord of the Rings War in the North,1
The Swapper,1
The Talos Principle Road To Gehenna,1
The Vanishing of Ethan Carter Redux,1
The Witcher 2 Assassins of Kings Enhanced Edition,1
The Witcher 3 Wild Hunt,1
The Wolf Among Us,1
Thief,1
Thief Gold,1
This War of Mine,1
Thomas Was Alone,1
Tiny and Big Grandpa's Leftovers,1
Titan Quest,1
Titan Quest Immortal Throne,1
Torchlight,1
Toribash,2
Total War SHOGUN 2,1
Transistor,1
Transistor Soundtrack,1
TRI Of Friendship and Madness,1
TypeRider,1
Unholy Heights,1
Unturned,12.2
Valkyria Chronicles Challenge of the Edy Detachment,1
Valkyria Chronicles Edy's Mission Enter the Edy Detachment,1
Valkyria Chronicles Hard EX Mode,1
Valkyria Chronicles Selveria's Mission Behind Her Blue Flame,1
Vessel,1
Viscera Cleanup Detail Shadow Warrior,1
VVVVVV,1
"Warhammer 40,000 Dawn of War - Game of the Year Edition",1
Whisper of a Rose,1
Wizorb,1
Wrack,1
Ys Origin,1
Zen Bound 2,1
Strife,1
Call of Duty Black Ops - Multifreeer,23
Counter-Strike Source,188.3
Dungeon Defenders,7.8
Call of Duty Black Ops,4.1
Day of Defeat Source,2.1
ArcheAge,1
Empire Total War,43
ARK Survival Evolved,30
Alien Swarm,2
TERA,1.9
Rust,70
Flatout 3,12.7
Counter-Strike Nexon Zombies,7.8
Everlasting Summer,1.6
War Thunder,1.4
DCS World,1.3
Fishing Planet,1
Cannons Lasers Rockets,1
Dragon Nest Europe,1
Loadout,1
Neverwinter,1
No More Room in Hell,1
RIFT,1
Tactical Intervention,2.4
Warframe,1
Zombies Monsters Robots,1
Clicker Heroes,1
Crusaders of the Lost Idols,1
GASP,1
theHunter,1
Max Payne 2 The Fall of Max Payne,33
Mafia II,16.9
Revenge of the Titans,10.2
A Virus Named TOM,9.3
Europa Universalis III,9.3
Super Puzzle Platformer Deluxe,6.9
